📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=10.0 (Should be 0.0 for Baseline)
Epoch 15200 | Total: 0.000057 | PDE: 0.000020 | IC: 0.000034 | Mean W: 0.2726
Epoch 15300 | Total: 0.000068 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.2667
Epoch 15400 | Total: 0.000058 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.2774
Epoch 15500 | Total: 0.000060 | PDE: 0.000020 | IC: 0.000036 | Mean W: 0.2836
Epoch 15600 | Total: 0.000060 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.2746
Epoch 15700 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.2941
Epoch 15800 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.2867
Epoch 15900 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000033 | Mean W: 0.2955
Epoch 16000 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.3019
Epoch 16100 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.3073
Epoch 16200 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.2990
Epoch 16300 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000036 | Mean W: 0.2993
Epoch 16400 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000034 | Mean W: 0.3049
Epoch 16500 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.3101
Epoch 16600 | Total: 0.000056 | PDE: 0.000020 | IC: 0.000033 | Mean W: 0.3160
Epoch 16700 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.3207
Epoch 16800 | Total: 0.000057 | PDE: 0.000020 | IC: 0.000034 | Mean W: 0.3171
Epoch 16900 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000036 | Mean W: 0.3142
Epoch 17000 | Total: 0.000055 | PDE: 0.000020 | IC: 0.000030 | Mean W: 0.3122
Epoch 17100 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.3375
Epoch 17200 | Total: 0.000058 | PDE: 0.000020 | IC: 0.000034 | Mean W: 0.3223
Epoch 17300 | Total: 0.000058 | PDE: 0.000020 | IC: 0.000034 | Mean W: 0.3317
Epoch 17400 | Total: 0.000060 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.3335
Epoch 17500 | Total: 0.000058 | PDE: 0.000019 | IC: 0.000033 | Mean W: 0.3482
Epoch 17600 | Total: 0.000065 | PDE: 0.000019 | IC: 0.000037 | Mean W: 0.3376
Epoch 17700 | Total: 0.000055 | PDE: 0.000019 | IC: 0.000031 | Mean W: 0.3488
Epoch 17800 | Total: 0.000076 | PDE: 0.000019 | IC: 0.000038 | Mean W: 0.3609
Epoch 17900 | Total: 0.000061 | PDE: 0.000019 | IC: 0.000034 | Mean W: 0.3481
Epoch 18000 | Total: 0.000060 | PDE: 0.000019 | IC: 0.000033 | Mean W: 0.3672
Epoch 18100 | Total: 0.000072 | PDE: 0.000019 | IC: 0.000037 | Mean W: 0.3671
Epoch 18200 | Total: 0.000058 | PDE: 0.000019 | IC: 0.000032 | Mean W: 0.3696
Epoch 18300 | Total: 0.000060 | PDE: 0.000019 | IC: 0.000035 | Mean W: 0.3733
Epoch 18400 | Total: 0.000057 | PDE: 0.000019 | IC: 0.000032 | Mean W: 0.3850
Epoch 18500 | Total: 0.000055 | PDE: 0.000019 | IC: 0.000031 | Mean W: 0.3854
Epoch 18600 | Total: 0.000055 | PDE: 0.000019 | IC: 0.000032 | Mean W: 0.4037
Epoch 18700 | Total: 0.000063 | PDE: 0.000018 | IC: 0.000036 | Mean W: 0.4098
Epoch 18800 | Total: 0.000056 | PDE: 0.000018 | IC: 0.000033 | Mean W: 0.4128
Epoch 18900 | Total: 0.000055 | PDE: 0.000018 | IC: 0.000032 | Mean W: 0.4263
Epoch 19000 | Total: 0.000056 | PDE: 0.000018 | IC: 0.000031 | Mean W: 0.4159
Epoch 19100 | Total: 0.000055 | PDE: 0.000018 | IC: 0.000033 | Mean W: 0.4468
Epoch 19200 | Total: 0.000054 | PDE: 0.000018 | IC: 0.000031 | Mean W: 0.4344
Epoch 19300 | Total: 0.000056 | PDE: 0.000017 | IC: 0.000035 | Mean W: 0.4490
Epoch 19400 | Total: 0.000058 | PDE: 0.000017 | IC: 0.000031 | Mean W: 0.4517
Epoch 19500 | Total: 0.000061 | PDE: 0.000017 | IC: 0.000031 | Mean W: 0.4864
Epoch 19600 | Total: 0.000056 | PDE: 0.000017 | IC: 0.000035 | Mean W: 0.4816
Epoch 19700 | Total: 0.000050 | PDE: 0.000016 | IC: 0.000030 | Mean W: 0.4957
Epoch 19800 | Total: 0.000055 | PDE: 0.000016 | IC: 0.000035 | Mean W: 0.4892
Epoch 19900 | Total: 0.000050 | PDE: 0.000016 | IC: 0.000031 | Mean W: 0.5009
✅ Training Finished.

✅ Model saved to model.pth

🎨 Generating Heston plots (Multi-Slice Analysis)...
   ... Plotting Slice: v = 0.01 (Low_Vol)
      -> Saved to prediction_Low_Vol.png
   ... Plotting Slice: v = 0.04 (Mean_Vol_Theta)
      -> Saved to prediction_Mean_Vol_Theta.png
   ... Plotting Slice: v = 0.1 (High_Vol)
      -> Saved to prediction_High_Vol.png
✅ All plots generated successfully.
